calls=2
('L', 34859)
('L', 34860)
('L', 34861)
('L', 34862)
('L', 34872)
('L', 34880)
('L', 34879)
('L', 34881)
('L', 34882)
('L', 34883)
('L', 34882)
('L', 34883)
('L', 34882)
('L', 34883)
('L', 34882)
('L', 34883)
('L', 34882)
('L', 34883)
('L', 34882)
('L', 34883)
('L', 34882)
('L', 34883)
('L', 34882)
('L', 34883)
('L', 34882)
('L', 34902)
('L', 34908)
('L', 34909)
('L', 34910)
('L', 34911)
('L', 34910)
('L', 34911)
('L', 34910)
('L', 34911)
('L', 34910)
('L', 34911)
('L', 34910)
('L', 34911)
('L', 34910)
('L', 34911)
('L', 34910)
('L', 34911)
('L', 34910)
('L', 34911)
('L', 34910)
('L', 35015)
('L', 35016)
('L', 35017)
('L', 35025)
('L', 35031)
('L', 35032)
('L', 35033)
('L', 35032)
('L', 35038)
('L', 35039)
('L', 35040)
('L', 35041)
('L', 35040)
('L', 35042)
('L', 35043)
('L', 35042)
('L', 35044)
('L', 35684)
('L', 35685)
('L', 35686)
('L', 35687)
('L', 35704)
('L', 35705)
('L', 35706)
('L', 35758)
('L', 35757)
('L', 35759)
('L', 35760)
('L', 35761)
('L', 35776)
('L', 35777)
('L', 35778)
('L', 35779)
('L', 35780)
('L', 35778)
('L', 35782)
('L', 35783)
('L', 35784)
('L', 35785)
('L', 35786)
('L', 35787)
('L', 35783)
('L', 35790)
('L', 35791)
('L', 35795)
('L', 35807)
('L', 35823)
('L', 35824)
('L', 35834)
('L', 35835)
('L', 35834)
('L', 35836)
('L', 35860)
('L', 35961)
('L', 35970)
('L', 35971)
('L', 35969)
('L', 35972)
('L', 35973)
('L', 35980)
('L', 35994)
('L', 36066)
('L', 36107)
('L', 36111)
('L', 36199)
('L', 36457)
('L', 36467)
('L', 36468)
('L', 36477)
('L', 36482)
('L', 36483)
('L', 36484)
('L', 36485)
('L', 36486)
('L', 36487)
('L', 36488)
('L', 36490)
('L', 36494)
('L', 36495)
('L', 36496)
('L', 36497)
('L', 36498)
('L', 36499)
('L', 36496)
('L', 36497)
('L', 36498)
('L', 36501)
('L', 36505)
('L', 36506)
('L', 36518)
('L', 36521)
('L', 36523)
('L', 36524)
